Location,GROUP_ID,Sample_Type,SAMPLE_DATE,Year,Coupon_Date_Install,Coupon_Date_Pulled,Days_Installed,Coupon_Number,MPY,Corr_Inhib_Residual_PPM,BA_SRB_Bottle_Turn,BA_APB_Bottle_Turn,Biocide Residual
"See Sta. from Billings 6"" -WaterTrap",BILLINGS TO SEE,Biocide Residual,6/8/2010,2010,,,,,,,,,195
See Sta. from Sheet Jct. -WaterTrap,SHEETS TO SEE,Corrosion Coupon,6/8/2010,2010,6/8/2010,10/26/2010,140,G5567,1.12,,,,
See Sta. from Sheet Jct. -WaterTrap,SHEETS TO SEE,Bacteria,6/8/2010,2010,,,,,,,4,2,
W Ponca to Fiske -WaterTrap,WEST PONCA TO FISKE,Corrosion Coupon,6/8/2010,2010,6/8/2010,10/26/2010,140,G5571,0.63,,,,
W Ponca to Fiske -WaterTrap,WEST PONCA TO FISKE,Corrosion Residual,6/8/2010,2010,,,,,,5,,,
W Ponca to Fiske -WaterTrap,WEST PONCA TO FISKE,Bacteria,6/8/2010,2010,,,,,,,1,1,
W Ponca to Fiske -WaterTrap,WEST PONCA TO FISKE,Biocide Residual,6/8/2010,2010,,,,,,,,,1
See to Cushing -WaterTrap,SEE TO SOUTH CIMARRON JCT,Corrosion Coupon,6/29/2010,2010,6/29/2010,10/26/2010,119,G6199,0.35,,,,
See to Cushing -WaterTrap,SEE TO SOUTH CIMARRON JCT,Corrosion Residual,6/29/2010,2010,,,,,,310,,,
See to Cushing -WaterTrap,SEE TO SOUTH CIMARRON JCT,Bacteria,6/29/2010,2010,,,,,,,2,1,
See to Cushing -WaterTrap,SEE TO SOUTH CIMARRON JCT,Biocide Residual,6/29/2010,2010,,,,,,,,,125
Cushing WC 1 -WaterTrap,CUSHING TERMINAL,Corrosion Coupon,7/1/2010,2010,7/1/2010,10/26/2010,117,G6197,0.01,,,,
Wideawake from Kansas -WaterTrap,FLEMING - WIDE AWAKE,Corrosion Coupon,10/14/2010,2010,10/14/2010,5/31/2011,229,G6103,0.01,,,,
"Blackwell Tie-In from Kansas 4"" -WaterTrap",KANSAS - OKLAHOMA,Corrosion Coupon,10/26/2010,2010,10/26/2010,5/5/2011,191,G5993,0.02,,,,
"Blackwell Tie-In from Kansas 4"" -WaterTrap",KANSAS - OKLAHOMA,Corrosion Residual,10/26/2010,2010,,,,,,27,,,
"Blackwell Tie-In from Kansas 4"" -WaterTrap",KANSAS - OKLAHOMA,Bacteria,10/26/2010,2010,,,,,,,3,1,
"Blackwell Tie-In from Kansas 4"" -WaterTrap",KANSAS - OKLAHOMA,Biocide Residual,10/26/2010,2010,,,,,,,,,70
Blackwell to Sheets Jct. -WaterTrap,BLACKWELL JCT TO SHEETS,Corrosion Coupon,10/26/2010,2010,10/26/2010,5/5/2011,191,G6150,0.02,,,,
Blackwell to Sheets Jct. -WaterTrap,BLACKWELL JCT TO SHEETS,Corrosion Residual,10/26/2010,2010,,,,,,25,,,
Blackwell to Sheets Jct. -WaterTrap,BLACKWELL JCT TO SHEETS,Bacteria,10/26/2010,2010,,,,,,,2,1,
Blackwell to Sheets Jct. -WaterTrap,BLACKWELL JCT TO SHEETS,Biocide Residual,10/26/2010,2010,,,,,,,,,105
Cushing WC 1 -WaterTrap,CUSHING TERMINAL,Corrosion Coupon,10/26/2010,2010,10/26/2010,5/5/2011,191,G6142,0.01,,,,
"See Sta. from Billings 6"" -WaterTrap",BILLINGS TO SEE,Corrosion Coupon,10/26/2010,2010,10/26/2010,5/5/2011,191,G6148,0.04,,,,
"See Sta. from Billings 6"" -WaterTrap",BILLINGS TO SEE,Corrosion Residual,10/26/2010,2010,,,,,,20,,,
"See Sta. from Billings 6"" -WaterTrap",BILLINGS TO SEE,Bacteria,10/26/2010,2010,,,,,,,3,1,
"See Sta. from Billings 6"" -WaterTrap",BILLINGS TO SEE,Biocide Residual,10/26/2010,2010,,,,,,,,,30
See Sta. from Sheet Jct. -WaterTrap,SHEETS TO SEE,Corrosion Coupon,10/26/2010,2010,10/26/2010,5/5/2011,191,G6149,0.04,,,,
See to Cushing -WaterTrap,SEE TO SOUTH CIMARRON JCT,Corrosion Coupon,10/26/2010,2010,10/26/2010,5/5/2011,191,G6146,0.04,,,,
See to Cushing -WaterTrap,SEE TO SOUTH CIMARRON JCT,Corrosion Residual,10/26/2010,2010,,,,,,250,,,
See to Cushing -WaterTrap,SEE TO SOUTH CIMARRON JCT,Bacteria,10/26/2010,2010,,,,,,,2,1,
See to Cushing -WaterTrap,SEE TO SOUTH CIMARRON JCT,Biocide Residual,10/26/2010,2010,,,,,,,,,25
W Ponca to Fiske -WaterTrap,WEST PONCA TO FISKE,Corrosion Coupon,10/26/2010,2010,10/26/2010,5/5/2011,191,G5992,0.02,,,,
W Ponca to Fiske -WaterTrap,WEST PONCA TO FISKE,Corrosion Residual,10/26/2010,2010,,,,,,5,,,
W Ponca to Fiske -WaterTrap,WEST PONCA TO FISKE,Bacteria,10/26/2010,2010,,,,,,,1,1,
W Ponca to Fiske -WaterTrap,WEST PONCA TO FISKE,Biocide Residual,10/26/2010,2010,,,,,,,,,50
Cunningham to Isabel Jct. receiver -WaterTrap,CUNNINGHAM TO ISABEL TRUNK,Corrosion Coupon,1/17/2011,2011,1/17/2011,4/12/2011,85,G5888,0.01,,,,
Cunningham to Isabel Jct. receiver -WaterTrap,CUNNINGHAM TO ISABEL TRUNK,Bacteria,1/17/2011,2011,,,,,,,0,1,
Cunningham to Isabel Jct. receiver -WaterTrap,CUNNINGHAM TO ISABEL TRUNK,Biocide Residual,1/17/2011,2011,,,,,,,,,460
"Hanston Station, Launcher to Larned Jct. -WaterTrap",ROZEL TO LARNED,Corrosion Coupon,4/12/2011,2011,11/4/2010,4/13/2011,160,D2326,0.03,,,,
"Hanston Station, Launcher to Larned Jct. -WaterTrap",ROZEL TO LARNED,Bacteria,4/12/2011,2011,,,,,,,2,1,
Hudson Sta. to Arlington Jct. receiver -WaterTrap,HUDSON TO ARLINGTON TRUNK,Corrosion Coupon,4/12/2011,2011,11/4/2010,4/13/2011,160,D2324,0.09,,,,
Hudson Sta. to Arlington Jct. receiver -WaterTrap,HUDSON TO ARLINGTON TRUNK,Bacteria,4/12/2011,2011,,,,,,,2,1,
Larned Jct. to Hudson receiver -WaterTrap,LARNED TO HUDSON TRUNK,Corrosion Coupon,4/12/2011,2011,11/4/2010,4/13/2011,160,D2325,0.05,,,,
Larned Jct. to Hudson receiver -WaterTrap,LARNED TO HUDSON TRUNK,Bacteria,4/12/2011,2011,,,,,,,0,1,
Lyons Sta. to Burrton Sta. receiver -WaterTrap,LYONS TO BURRTON TRUNK,Corrosion Coupon,4/12/2011,2011,11/4/2010,4/14/2011,161,D2322,0.09,,,,
Lyons Sta. to Burrton Sta. receiver -WaterTrap,LYONS TO BURRTON TRUNK,Bacteria,4/12/2011,2011,,,,,,,1,1,
"Arlington Jct. to Cunningham Sta., receiver -WaterTrap",ARLINGTON-CUNNINGHAM,Corrosion Coupon,4/13/2011,2011,11/15/2010,4/11/2011,147,G5881,0.03,,,,
"Arlington Jct. to Cunningham Sta., receiver -WaterTrap",ARLINGTON-CUNNINGHAM,Bacteria,4/13/2011,2011,,,,,,,0,0,
"Arlington Jct. to Cunningham Sta., receiver -WaterTrap",ARLINGTON-CUNNINGHAM,Biocide Residual,4/13/2011,2011,,,,,,,,,2750
Burrton Sta. to El Dorado Sta. receiver -WaterTrap,BURRTON-EL DORADO,Corrosion Coupon,4/13/2011,2011,11/12/2010,4/14/2011,153,D2339,0.1,,,,
Burrton Sta. to El Dorado Sta. receiver -WaterTrap,BURRTON-EL DORADO,Bacteria,4/13/2011,2011,,,,,,,2,2,
"Hanston Station, Launcher to Larned Jct. -WaterTrap",ROZEL TO LARNED,Corrosion Coupon,4/13/2011,2011,4/13/2011,10/10/2011,180,,0.02,,,,
"Hanston Station, Launcher to Larned Jct. -WaterTrap",ROZEL TO LARNED,Bacteria,4/13/2011,2011,,,,,,,0,2,
"Hanston Station, Launcher to Larned Jct. -WaterTrap",ROZEL TO LARNED,Biocide Residual,4/13/2011,2011,,,,,,,,,4500
Haven Sta. to Arlington Jct. receiver  -WaterTrap,ARLINGTON-BURRTON,Corrosion Coupon,4/13/2011,2011,4/13/2011,10/11/2011,181,,0.08,,,,
Haven Sta. to Arlington Jct. receiver  -WaterTrap,ARLINGTON-BURRTON,Bacteria,4/13/2011,2011,,,,,,,0,1,
Haven Sta. to Arlington Jct. receiver  -WaterTrap,ARLINGTON-BURRTON,Biocide Residual,4/13/2011,2011,,,,,,,,,4550
Hudson Sta. to Arlington Jct. receiver -WaterTrap,HUDSON TO ARLINGTON TRUNK,Corrosion Coupon,4/13/2011,2011,4/13/2011,10/11/2011,181,,0.33,,,,
Hudson Sta. to Arlington Jct. receiver -WaterTrap,HUDSON TO ARLINGTON TRUNK,Bacteria,4/13/2011,2011,,,,,,,0,1,
Hudson Sta. to Arlington Jct. receiver -WaterTrap,HUDSON TO ARLINGTON TRUNK,Biocide Residual,4/13/2011,2011,,,,,,,,,4550
Larned Jct. to Hudson receiver -WaterTrap,LARNED TO HUDSON TRUNK,Corrosion Coupon,4/13/2011,2011,4/13/2011,10/10/2011,180,,0.06,,,,
Larned Jct. to Hudson receiver -WaterTrap,LARNED TO HUDSON TRUNK,Bacteria,4/13/2011,2011,,,,,,,0,1,
Larned Jct. to Hudson receiver -WaterTrap,LARNED TO HUDSON TRUNK,Biocide Residual,4/13/2011,2011,,,,,,,,,4500
"Riverside Sta. to Weiland Jct. (1) 4"" receivers -WaterTrap",RIVERSIDE LINE 1,Corrosion Coupon,4/13/2011,2011,4/13/2011,10/10/2011,180,,0.03,,,,
"Riverside Sta. to Weiland Jct. (1) 4"" receivers -WaterTrap",RIVERSIDE LINE 1,Bacteria,4/13/2011,2011,,,,,,,0,1,
"Riverside Sta. to Weiland Jct. (1) 4"" receivers -WaterTrap",RIVERSIDE LINE 1,Biocide Residual,4/13/2011,2011,,,,,,,,,4550
"Riverside Sta. to Weiland Jct. (1) 4"" receivers -WaterTrap",RIVERSIDE LINE 1,Corrosion Coupon,4/13/2011,2011,11/4/2010,4/13/2011,160,D2327,0.06,,,,
"Riverside Sta. to Weiland Jct. (1) 4"" receivers -WaterTrap",RIVERSIDE LINE 1,Bacteria,4/13/2011,2011,,,,,,,1,2,
"Riverside Sta. to Weiland Jct. (2) 4"" receivers -WaterTrap",RIVERSIDE LINE 2,Corrosion Coupon,4/13/2011,2011,4/13/2011,10/10/2011,180,,0.03,,,,
"Riverside Sta. to Weiland Jct. (2) 4"" receivers -WaterTrap",RIVERSIDE LINE 2,Bacteria,4/13/2011,2011,,,,,,,0,1,
"Riverside Sta. to Weiland Jct. (2) 4"" receivers -WaterTrap",RIVERSIDE LINE 2,Biocide Residual,4/13/2011,2011,,,,,,,,,4500
"Riverside Sta. to Weiland Jct. (2) 4"" receivers -WaterTrap",RIVERSIDE LINE 2,Corrosion Coupon,4/13/2011,2011,11/4/2010,4/13/2011,160,D2328,0.07,,,,
"Riverside Sta. to Weiland Jct. (2) 4"" receivers -WaterTrap",RIVERSIDE LINE 2,Bacteria,4/13/2011,2011,,,,,,,3,2,
So. Hutch to Haven Sta. receiver -WaterTrap,SOUTH HUTCH,Corrosion Coupon,4/13/2011,2011,11/4/2010,4/14/2011,161,D2323,0.39,,,,
So. Hutch to Haven Sta. receiver -WaterTrap,SOUTH HUTCH,Bacteria,4/13/2011,2011,,,,,,,2,1,
Whelan Sta. to Isabel Jct. receiver -WaterTrap,WHELAN TO ISABEL TRUNK,Corrosion Coupon,4/13/2011,2011,11/15/2010,4/12/2011,148,G5880,0.02,,,,
Whelan Sta. to Isabel Jct. receiver -WaterTrap,WHELAN TO ISABEL TRUNK,Bacteria,4/13/2011,2011,,,,,,,3,2,
Whelan Sta. to Isabel Jct. receiver -WaterTrap,WHELAN TO ISABEL TRUNK,Biocide Residual,4/13/2011,2011,,,,,,,,,195
Arlington Jct. to Haven Sta. receiver -WaterTrap,ARLINGTON-BURRTON,Corrosion Coupon,4/14/2011,2011,4/14/2011,10/11/2011,180,,0.02,,,,
Arlington Jct. to Haven Sta. receiver -WaterTrap,ARLINGTON-BURRTON,Bacteria,4/14/2011,2011,,,,,,,0,1,
Arlington Jct. to Haven Sta. receiver -WaterTrap,ARLINGTON-BURRTON,Biocide Residual,4/14/2011,2011,,,,,,,,,4500
Burrton Sta. to El Dorado Sta. receiver -WaterTrap,BURRTON-EL DORADO,Corrosion Coupon,4/14/2011,2011,4/14/2011,10/11/2011,180,,1,,,,
Burrton Sta. to El Dorado Sta. receiver -WaterTrap,BURRTON-EL DORADO,Bacteria,4/14/2011,2011,,,,,,,2,2,
Burrton Sta. to El Dorado Sta. receiver -WaterTrap,BURRTON-EL DORADO,Biocide Residual,4/14/2011,2011,,,,,,,,,20
Burrton Sta. to Haven Sta. receiver -WaterTrap,ARLINGTON-BURRTON,Corrosion Coupon,4/14/2011,2011,4/14/2011,10/11/2011,180,,0.43,,,,
Burrton Sta. to Haven Sta. receiver -WaterTrap,ARLINGTON-BURRTON,Bacteria,4/14/2011,2011,,,,,,,0,1,
Burrton Sta. to Haven Sta. receiver -WaterTrap,ARLINGTON-BURRTON,Biocide Residual,4/14/2011,2011,,,,,,,,,4500
Haven Sta. to Burrton Sta. receiver -WaterTrap,ARLINGTON-BURRTON,Corrosion Coupon,4/14/2011,2011,4/14/2011,10/11/2011,180,,0.05,,,,
Haven Sta. to Burrton Sta. receiver -WaterTrap,ARLINGTON-BURRTON,Bacteria,4/14/2011,2011,,,,,,,0,1,
Haven Sta. to Burrton Sta. receiver -WaterTrap,ARLINGTON-BURRTON,Biocide Residual,4/14/2011,2011,,,,,,,,,4550
Lyons Sta. to Burrton Sta. receiver -WaterTrap,LYONS TO BURRTON TRUNK,Corrosion Coupon,4/14/2011,2011,4/14/2011,10/11/2011,180,,0.08,,,,
Lyons Sta. to Burrton Sta. receiver -WaterTrap,LYONS TO BURRTON TRUNK,Bacteria,4/14/2011,2011,,,,,,,0,1,
Lyons Sta. to Burrton Sta. receiver -WaterTrap,LYONS TO BURRTON TRUNK,Biocide Residual,4/14/2011,2011,,,,,,,,,4500
So. Hutch to Haven Sta. receiver -WaterTrap,SOUTH HUTCH,Corrosion Coupon,4/14/2011,2011,4/14/2011,10/11/2011,180,,0.49,,,,
So. Hutch to Haven Sta. receiver -WaterTrap,SOUTH HUTCH,Bacteria,4/14/2011,2011,,,,,,,0,1,
So. Hutch to Haven Sta. receiver -WaterTrap,SOUTH HUTCH,Biocide Residual,4/14/2011,2011,,,,,,,,,4850
"Blackwell Tie-In from Kansas 4"" -WaterTrap",KANSAS - OKLAHOMA,Corrosion Coupon,5/5/2011,2011,5/5/2011,12/28/2011,237,G6164,0.02,,,,
"Blackwell Tie-In from Kansas 4"" -WaterTrap",KANSAS - OKLAHOMA,Corrosion Residual,5/5/2011,2011,,,,,,5,,,
"Blackwell Tie-In from Kansas 4"" -WaterTrap",KANSAS - OKLAHOMA,Bacteria,5/5/2011,2011,,,,,,,0,0,
"Blackwell Tie-In from Kansas 4"" -WaterTrap",KANSAS - OKLAHOMA,Biocide Residual,5/5/2011,2011,,,,,,,,,28000
Blackwell to Sheets Jct. -WaterTrap,BLACKWELL JCT TO SHEETS,Corrosion Coupon,5/5/2011,2011,5/5/2011,12/28/2011,237,G6165,0.02,,,,
Blackwell to Sheets Jct. -WaterTrap,BLACKWELL JCT TO SHEETS,Corrosion Residual,5/5/2011,2011,,,,,,6500,,,
Blackwell to Sheets Jct. -WaterTrap,BLACKWELL JCT TO SHEETS,Bacteria,5/5/2011,2011,,,,,,,0,1,
Blackwell to Sheets Jct. -WaterTrap,BLACKWELL JCT TO SHEETS,Biocide Residual,5/5/2011,2011,,,,,,,,,0
Cushing WC 1 -WaterTrap,CUSHING TERMINAL,Corrosion Coupon,5/5/2011,2011,5/5/2011,12/28/2011,237,G6169,0.11,,,,
Cushing WC 1 -WaterTrap,CUSHING TERMINAL,Bacteria,5/5/2011,2011,,,,,,,0,0,
"See Sta. from Billings 6"" -WaterTrap",BILLINGS TO SEE,Corrosion Coupon,5/5/2011,2011,5/5/2011,12/28/2011,237,G6168,0.17,,,,
"See Sta. from Billings 6"" -WaterTrap",BILLINGS TO SEE,Corrosion Residual,5/5/2011,2011,,,,,,10,,,
"See Sta. from Billings 6"" -WaterTrap",BILLINGS TO SEE,Bacteria,5/5/2011,2011,,,,,,,1,3,
"See Sta. from Billings 6"" -WaterTrap",BILLINGS TO SEE,Biocide Residual,5/5/2011,2011,,,,,,,,,50
See Sta. from Sheet Jct. -WaterTrap,SHEETS TO SEE,Corrosion Coupon,5/5/2011,2011,5/5/2011,12/28/2011,237,G6166,0.01,,,,
See to Cushing -WaterTrap,SEE TO SOUTH CIMARRON JCT,Corrosion Coupon,5/5/2011,2011,5/5/2011,12/28/2011,237,G6167,0.58,,,,
See to Cushing -WaterTrap,SEE TO SOUTH CIMARRON JCT,Corrosion Residual,5/5/2011,2011,,,,,,28,,,
See to Cushing -WaterTrap,SEE TO SOUTH CIMARRON JCT,Bacteria,5/5/2011,2011,,,,,,,0,0,
See to Cushing -WaterTrap,SEE TO SOUTH CIMARRON JCT,Biocide Residual,5/5/2011,2011,,,,,,,,,8000
W Ponca to Fiske -WaterTrap,WEST PONCA TO FISKE,Corrosion Coupon,5/5/2011,2011,5/5/2011,12/28/2011,237,G6170,0.44,,,,
W Ponca to Fiske -WaterTrap,WEST PONCA TO FISKE,Corrosion Residual,5/5/2011,2011,,,,,,5,,,
W Ponca to Fiske -WaterTrap,WEST PONCA TO FISKE,Bacteria,5/5/2011,2011,,,,,,,2,3,
W Ponca to Fiske -WaterTrap,WEST PONCA TO FISKE,Biocide Residual,5/5/2011,2011,,,,,,,,,5
Wideawake from Kansas -WaterTrap,FLEMING - WIDE AWAKE,Corrosion Coupon,5/31/2011,2011,5/31/2011,12/30/2011,213,G6080,0.01,,,,
"Hanston Station, Launcher to Larned Jct. -WaterTrap",ROZEL TO LARNED,Corrosion Coupon,10/10/2011,2011,10/10/2011,4/18/2012,191,D2513,0.03,,,,
"Hanston Station, Launcher to Larned Jct. -WaterTrap",ROZEL TO LARNED,Bacteria,10/10/2011,2011,,,,,,,0,1,
"Hanston Station, Launcher to Larned Jct. -WaterTrap",ROZEL TO LARNED,Biocide Residual,10/10/2011,2011,,,,,,,,,4500
Larned Jct. to Hudson receiver -WaterTrap,LARNED TO HUDSON TRUNK,Corrosion Coupon,10/10/2011,2011,10/10/2011,4/18/2012,191,D2512,0.06,,,,
Larned Jct. to Hudson receiver -WaterTrap,LARNED TO HUDSON TRUNK,Bacteria,10/10/2011,2011,,,,,,,0,1,
Larned Jct. to Hudson receiver -WaterTrap,LARNED TO HUDSON TRUNK,Biocide Residual,10/10/2011,2011,,,,,,,,,4550
"Riverside Sta. to Weiland Jct. (1) 4"" receivers -WaterTrap",RIVERSIDE LINE 1,Corrosion Coupon,10/10/2011,2011,10/10/2011,4/18/2012,191,D2514,0.03,,,,
"Riverside Sta. to Weiland Jct. (1) 4"" receivers -WaterTrap",RIVERSIDE LINE 1,Bacteria,10/10/2011,2011,,,,,,,0,1,
"Riverside Sta. to Weiland Jct. (1) 4"" receivers -WaterTrap",RIVERSIDE LINE 1,Biocide Residual,10/10/2011,2011,,,,,,,,,4500
"Riverside Sta. to Weiland Jct. (2) 4"" receivers -WaterTrap",RIVERSIDE LINE 2,Corrosion Coupon,10/10/2011,2011,10/10/2011,4/18/2012,191,D2515,0.02,,,,
"Riverside Sta. to Weiland Jct. (2) 4"" receivers -WaterTrap",RIVERSIDE LINE 2,Bacteria,10/10/2011,2011,,,,,,,0,1,
"Riverside Sta. to Weiland Jct. (2) 4"" receivers -WaterTrap",RIVERSIDE LINE 2,Biocide Residual,10/10/2011,2011,,,,,,,,,4450
Arlington Jct. to Haven Sta. receiver -WaterTrap,ARLINGTON-BURRTON,Corrosion Coupon,10/11/2011,2011,10/11/2011,4/19/2012,191,D2509,0.03,,,,
Arlington Jct. to Haven Sta. receiver -WaterTrap,ARLINGTON-BURRTON,Bacteria,10/11/2011,2011,,,,,,,0,1,
Arlington Jct. to Haven Sta. receiver -WaterTrap,ARLINGTON-BURRTON,Biocide Residual,10/11/2011,2011,,,,,,,,,4550
Burrton Sta. to El Dorado Sta. receiver -WaterTrap,BURRTON-EL DORADO,Corrosion Coupon,10/11/2011,2011,10/11/2011,4/19/2012,191,D2503,0.19,,,,
Burrton Sta. to El Dorado Sta. receiver -WaterTrap,BURRTON-EL DORADO,Bacteria,10/11/2011,2011,,,,,,,3,6,
Burrton Sta. to El Dorado Sta. receiver -WaterTrap,BURRTON-EL DORADO,Biocide Residual,10/11/2011,2011,,,,,,,,,4200
Burrton Sta. to Haven Sta. receiver -WaterTrap,ARLINGTON-BURRTON,Corrosion Coupon,10/11/2011,2011,10/11/2011,4/19/2012,191,D2507,0.1,,,,
Burrton Sta. to Haven Sta. receiver -WaterTrap,ARLINGTON-BURRTON,Bacteria,10/11/2011,2011,,,,,,,0,2,
Burrton Sta. to Haven Sta. receiver -WaterTrap,ARLINGTON-BURRTON,Biocide Residual,10/11/2011,2011,,,,,,,,,8000
Haven Sta. to Arlington Jct. receiver  -WaterTrap,ARLINGTON-BURRTON,Corrosion Coupon,10/11/2011,2011,10/11/2011,4/18/2012,190,D2510,0.04,,,,
Haven Sta. to Arlington Jct. receiver  -WaterTrap,ARLINGTON-BURRTON,Bacteria,10/11/2011,2011,,,,,,,0,1,
Haven Sta. to Arlington Jct. receiver  -WaterTrap,ARLINGTON-BURRTON,Biocide Residual,10/11/2011,2011,,,,,,,,,4400
Haven Sta. to Burrton Sta. receiver -WaterTrap,ARLINGTON-BURRTON,Corrosion Coupon,10/11/2011,2011,10/11/2011,4/19/2012,191,D2506,0.1,,,,
Haven Sta. to Burrton Sta. receiver -WaterTrap,ARLINGTON-BURRTON,Bacteria,10/11/2011,2011,,,,,,,0,1,
Haven Sta. to Burrton Sta. receiver -WaterTrap,ARLINGTON-BURRTON,Biocide Residual,10/11/2011,2011,,,,,,,,,4450
Hudson Sta. to Arlington Jct. receiver -WaterTrap,HUDSON TO ARLINGTON TRUNK,Corrosion Coupon,10/11/2011,2011,10/11/2011,4/18/2012,190,D2511,0.13,,,,
Hudson Sta. to Arlington Jct. receiver -WaterTrap,HUDSON TO ARLINGTON TRUNK,Bacteria,10/11/2011,2011,,,,,,,0,1,
Hudson Sta. to Arlington Jct. receiver -WaterTrap,HUDSON TO ARLINGTON TRUNK,Biocide Residual,10/11/2011,2011,,,,,,,,,4750
Lyons Sta. to Burrton Sta. receiver -WaterTrap,LYONS TO BURRTON TRUNK,Corrosion Coupon,10/11/2011,2011,10/11/2011,4/19/2012,191,D2505,0.05,,,,
Lyons Sta. to Burrton Sta. receiver -WaterTrap,LYONS TO BURRTON TRUNK,Bacteria,10/11/2011,2011,,,,,,,0,1,
Lyons Sta. to Burrton Sta. receiver -WaterTrap,LYONS TO BURRTON TRUNK,Biocide Residual,10/11/2011,2011,,,,,,,,,8000
So. Hutch to Haven Sta. receiver -WaterTrap,SOUTH HUTCH,Corrosion Coupon,10/11/2011,2011,10/11/2011,4/19/2012,191,D2508,0.36,,,,
So. Hutch to Haven Sta. receiver -WaterTrap,SOUTH HUTCH,Bacteria,10/11/2011,2011,,,,,,,0,1,
So. Hutch to Haven Sta. receiver -WaterTrap,SOUTH HUTCH,Biocide Residual,10/11/2011,2011,,,,,,,,,7500
"Blackwell Tie-In from Kansas 4"" -WaterTrap",KANSAS - OKLAHOMA,Corrosion Coupon,12/28/2011,2011,12/28/2011,5/24/2012,148,G6481,0.05,,,,
"Blackwell Tie-In from Kansas 4"" -WaterTrap",KANSAS - OKLAHOMA,Corrosion Residual,12/28/2011,2011,,,,,,31,,,
"Blackwell Tie-In from Kansas 4"" -WaterTrap",KANSAS - OKLAHOMA,Bacteria,12/28/2011,2011,,,,,,,0,0,
"Blackwell Tie-In from Kansas 4"" -WaterTrap",KANSAS - OKLAHOMA,Biocide Residual,12/28/2011,2011,,,,,,,,,3500
Blackwell to Sheets Jct. -WaterTrap,BLACKWELL JCT TO SHEETS,Corrosion Coupon,12/28/2011,2011,12/28/2011,5/24/2012,148,G6483,0.02,,,,
Blackwell to Sheets Jct. -WaterTrap,BLACKWELL JCT TO SHEETS,Corrosion Residual,12/28/2011,2011,,,,,,14,,,
Blackwell to Sheets Jct. -WaterTrap,BLACKWELL JCT TO SHEETS,Bacteria,12/28/2011,2011,,,,,,,0,0,
Blackwell to Sheets Jct. -WaterTrap,BLACKWELL JCT TO SHEETS,Biocide Residual,12/28/2011,2011,,,,,,,,,3100
Cushing WC 1 -WaterTrap,CUSHING TERMINAL,Corrosion Coupon,12/28/2011,2011,12/28/2011,5/24/2012,148,G6455,0.44,,,,
"See Sta. from Billings 6"" -WaterTrap",BILLINGS TO SEE,Corrosion Coupon,12/28/2011,2011,12/28/2011,5/24/2012,148,G6482,0.01,,,,
"See Sta. from Billings 6"" -WaterTrap",BILLINGS TO SEE,Corrosion Residual,12/28/2011,2011,,,,,,15,,,
"See Sta. from Billings 6"" -WaterTrap",BILLINGS TO SEE,Bacteria,12/28/2011,2011,,,,,,,2,3,
"See Sta. from Billings 6"" -WaterTrap",BILLINGS TO SEE,Biocide Residual,12/28/2011,2011,,,,,,,,,45
